DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 5.67919 10.2685 6.45377 7.26556 7.89321 7.90215 
0.2 5.68484 9.66949 6.39927 7.14 7.7696 7.82811 
0.3 5.74367 9.316 6.26725 7.11385 7.68599 7.7829 
0.4 5.77357 9.04114 6.19789 6.97192 7.58828 7.67735 
0.5 5.80817 8.77331 6.05087 6.73504 7.34298 7.44481 
0.6 5.82198 8.54799 5.88094 6.50009 7.0789 7.11726 
0.7 5.88544 8.37607 5.75415 6.42775 6.99179 6.98268 
0.8 5.88033 8.21512 5.50004 6.24855 6.7379 6.77406 
0.9 5.87566 8.08076 5.29114 5.96385 6.47507 6.29996 
1 5.9367 7.94516 4.90628 5.72183 6.10296 5.78366 
