DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 0.61018 0.64628 0.61194 0.63054 0.73572 0.73764 
0.2 0.57907 0.62574 0.55676 0.6263 0.68216 0.69358 
0.3 0.55048 0.61026 0.552593 0.625413 0.672853 0.68834 
0.4 0.54455 0.617055 0.543175 0.653585 0.68961 0.703725 
0.5 0.54494 0.61116 0.526372 0.68252 0.702396 0.71824 
0.6 0.54627 0.608947 0.525103 0.717243 0.73447 0.737623 
0.7 0.540634 0.598137 0.526157 0.727734 0.739506 0.758977 
0.8 0.546693 0.603357 0.53047 0.76826 0.771335 0.768903 
0.9 0.544471 0.585376 0.526551 0.756236 0.757013 0.757873 
1 0.538237 0.574012 0.521943 0.786359 0.790139 0.794788 
