DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 14.4595 14.4517 14.454 14.4498 14.2526 14.2406 
0.2 14.4562 14.4662 14.458 14.4632 14.2892 14.2582 
0.3 14.4763 14.4744 14.4656 14.4748 14.3232 14.3061 
0.4 14.4624 14.4865 14.4707 14.5124 14.4042 14.3628 
0.5 14.4348 14.401 14.4268 14.3528 14.265 14.2354 
0.6 14.4688 14.4719 14.466 14.4531 14.3509 14.3311 
0.7 14.4598 14.4606 14.4603 14.471 14.4109 14.3931 
0.8 14.4743 14.4735 14.468 14.504 14.4612 14.4513 
0.9 14.4651 14.4617 14.472 14.4726 14.4518 14.4411 
1 14.4582 14.4551 14.4646 14.4501 14.4394 14.4392 
