DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 9.5216 13.0051 10.3663 9.4818 9.87344 10.7296 
100 10.275 14.8679 11.2808 10.3837 11.0327 11.4533 
150 10.8218 16.0491 12.0904 11.5915 11.8269 12.5115 
200 11.4205 16.9185 11.8622 11.6439 11.6555 12.8214 
250 11.4939 17.5204 12.5936 11.8811 12.2677 14.1837 
300 11.7237 18.055 13.089 12.0878 13.0161 13.4738 
350 11.8708 18.3736 12.8465 12.1948 12.8578 12.8378 
400 11.9185 18.8349 13.0118 12.4528 13.4446 13.6796 
450 12.3677 19.2209 13.4657 12.8813 13.3095 13.8412 
500 12.3315 19.4563 13.6122 13.1712 12.9633 13.6519 
